dim,group,estimand,model,estimate,se,ci_lo,ci_hi,lo,hi,violates,excess
age,70+,turnout,M2ml_logit_noprior,0.5787866545904787,,,,0.3692222696567138,0.8925391125285653,False,0.0
age,70+,turnout,M4_context,0.5676840823058973,,,,0.3692222696567138,0.8925391125285653,False,0.0
age,70+,turnout,M5_within_seat,0.5776621546789997,0.012098126559603942,0.5559605450291106,0.6023992079976029,0.3692222696567138,0.8925391125285653,False,0.0
age,18-29,BN,M1_lpm,0.17701024367084145,0.01317330416370739,0.15371265180219154,0.20638384399639112,0.1088344983766097,0.2621585899375058,False,0.0
age,18-29,BN,M2_logit,0.17623141474004242,0.013235017534414448,0.15296969460978543,0.2058349592299883,0.1088344983766097,0.2621585899375058,False,0.0
age,18-29,BN,M3_probit,0.17623117063094845,,,,0.1088344983766097,0.2621585899375058,False,0.0
age,18-29,BN,M2ml_logit_noprior,0.17623106714609826,,,,0.1088344983766097,0.2621585899375058,False,0.0
age,18-29,BN,M4_context,0.23462062110176932,,,,0.1088344983766097,0.2621585899375058,False,0.0
age,18-29,BN,M5_within_seat,0.1790086423680807,0.013232428324792328,0.15547591729589055,0.2084893863118748,0.1088344983766097,0.2621585899375058,False,0.0
age,30-39,BN,M1_lpm,0.2054008948299633,0.013273006293079133,0.18173030363182155,0.23220793172626394,0.0600477462545436,0.3783638998047725,False,0.0
age,30-39,BN,M2_logit,0.20586095019428452,0.01326753749857843,0.18187666168789474,0.2334837119920019,0.0600477462545436,0.3783638998047725,False,0.0
age,30-39,BN,M3_probit,0.2058608478317384,,,,0.0600477462545436,0.3783638998047725,False,0.0
age,30-39,BN,M2ml_logit_noprior,0.2058605995216365,,,,0.0600477462545436,0.3783638998047725,False,0.0
age,30-39,BN,M4_context,0.06682925784895956,,,,0.0600477462545436,0.3783638998047725,False,0.0
age,30-39,BN,M5_within_seat,0.2016247944654685,0.012946939132860406,0.179691614390759,0.22939017278478188,0.0600477462545436,0.3783638998047725,False,0.0
age,40-49,BN,M1_lpm,0.2090599895748967,0.015369983351489055,0.18182198872851435,0.24244058911960542,0.0495536967749939,0.4196556249877569,False,0.0
age,40-49,BN,M2_logit,0.20757149563453683,0.0156136488550991,0.1799579794280268,0.2414243656884692,0.0495536967749939,0.4196556249877569,False,0.0
age,40-49,BN,M3_probit,0.20757112850514725,,,,0.0495536967749939,0.4196556249877569,False,0.0
age,40-49,BN,M2ml_logit_noprior,0.207570969987322,,,,0.0495536967749939,0.4196556249877569,False,0.0
age,40-49,BN,M4_context,0.18225721852010993,,,,0.0495536967749939,0.4196556249877569,False,0.0
age,40-49,BN,M5_within_seat,0.20626419165209606,0.014423723478450268,0.1804209015704869,0.23890101020541088,0.0495536967749939,0.4196556249877569,False,0.0
age,50-59,BN,M1_lpm,0.253372378811836,0.014465198575113084,0.22807521259863106,0.28531921780457253,0.0539946530632511,0.4824133866807439,False,0.0
age,50-59,BN,M2_logit,0.2531066899728508,0.014490265565634682,0.22788902284750936,0.28481711060679055,0.0539946530632511,0.4824133866807439,False,0.0
age,50-59,BN,M3_probit,0.2531062513181394,,,,0.0539946530632511,0.4824133866807439,False,0.0
age,50-59,BN,M2ml_logit_noprior,0.2531062210638206,,,,0.0539946530632511,0.4824133866807439,False,0.0
age,50-59,BN,M4_context,0.2505618642472133,,,,0.0539946530632511,0.4824133866807439,False,0.0
age,50-59,BN,M5_within_seat,0.2578182108752128,0.015510930475588857,0.2295853337059291,0.2912057004410038,0.0539946530632511,0.4824133866807439,False,0.0
age,60-69,BN,M1_lpm,0.3117947860870037,0.020325659832140127,0.2772643779117917,0.35308345848375744,0.0671696302229813,0.5496723561772417,False,0.0
age,60-69,BN,M2_logit,0.31591275442034,0.02073234952580847,0.2802828561444317,0.35913452389825645,0.0671696302229813,0.5496723561772417,False,0.0
age,60-69,BN,M3_probit,0.3159126042400625,,,,0.0671696302229813,0.5496723561772417,False,0.0
age,60-69,BN,M2ml_logit_noprior,0.31591275645702416,,,,0.0671696302229813,0.5496723561772417,False,0.0
age,60-69,BN,M4_context,0.32351394828322,,,,0.0671696302229813,0.5496723561772417,False,0.0
age,60-69,BN,M5_within_seat,0.3204873785464284,0.022012689008515808,0.2832809739688316,0.3705168824305689,0.0671696302229813,0.5496723561772417,False,0.0
