election,group,estimand,miss,n_pure,thr
jhr_se15,70+,turnout,0.031935334144842176,23,0.95
jhr_se15,70+,BN,0.030760483956164264,23,0.95
jhr_se15,70+,PH,0.0,23,0.95
jhr_se15,70+,PN,0.0014062759820045977,23,0.95
jhr_se15,70+,BN_v,0.04089435208890091,23,0.95
jhr_se15,70+,PH_v,0.03472351093110293,23,0.95
jhr_se15,70+,PN_v,0.0,23,0.95
ge15,Malay,turnout,0.01568219900691048,655,0.95
ge15,Malay,BN,0.06013951008942725,655,0.95
ge15,Malay,PH,0.019482181611694564,655,0.95
ge15,Malay,PN,0.02400745714547642,655,0.95
ge15,Malay,BN_v,0.055040701441305795,655,0.95
ge15,Malay,PH_v,0.02662153513941304,655,0.95
ge15,Malay,PN_v,0.039314907418182554,655,0.95
ge15,Chinese,turnout,0.013196320591460808,75,0.95
ge15,Chinese,BN,0.0,75,0.95
ge15,Chinese,PH,0.0,75,0.95
ge15,Chinese,PN,0.0,75,0.95
ge15,Chinese,BN_v,0.0,75,0.95
ge15,Chinese,PH_v,0.0,75,0.95
ge15,Chinese,PN_v,0.0,75,0.95
ge15,18-29,turnout,0.015041268801253671,604,0.95
ge15,18-29,BN,0.030738139088110267,604,0.95
ge15,18-29,PH,0.029268704950829727,604,0.95
ge15,18-29,PN,0.014478393610405926,604,0.95
ge15,18-29,BN_v,0.04689514843351619,604,0.95
ge15,18-29,PH_v,0.030124492248722046,604,0.95
ge15,18-29,PN_v,0.012374360993426425,604,0.95
ge15,30-39,turnout,0.001727569046470867,192,0.95
ge15,30-39,BN,0.0010571276519667216,192,0.95
ge15,30-39,PH,0.0,192,0.95
ge15,30-39,PN,0.0,192,0.95
ge15,30-39,BN_v,0.0,192,0.95
ge15,30-39,PH_v,0.0,192,0.95
ge15,30-39,PN_v,4.138031294287359e-06,192,0.95
ge15,40-49,turnout,0.013504990087881086,135,0.95
ge15,40-49,BN,0.0066563099384262525,135,0.95
ge15,40-49,PH,0.017456798786183003,135,0.95
ge15,40-49,PN,0.0009086005391848173,135,0.95
ge15,40-49,BN_v,0.013285809884379468,135,0.95
ge15,40-49,PH_v,0.010431125123970597,135,0.95
ge15,40-49,PN_v,0.0,135,0.95
ge15,50-59,turnout,0.0,89,0.95
ge15,50-59,BN,0.019850970891004904,89,0.95
ge15,50-59,PH,0.011198694975897983,89,0.95
ge15,50-59,PN,0.0,89,0.95
ge15,50-59,BN_v,0.024759312355072033,89,0.95
ge15,50-59,PH_v,0.0073294623060903286,89,0.95
ge15,50-59,PN_v,0.0,89,0.95
ge15,60-69,turnout,0.008377015916525732,83,0.95
ge15,60-69,BN,0.01292899884098872,83,0.95
ge15,60-69,PH,0.004940281663026125,83,0.95
ge15,60-69,PN,0.005067251884954882,83,0.95
ge15,60-69,BN_v,0.011133564323750622,83,0.95
ge15,60-69,PH_v,0.01239942297505392,83,0.95
ge15,60-69,PN_v,0.0046820612524594435,83,0.95
ge15,70+,turnout,0.011516344690221225,19,0.95
