election,short,dim,group,party,share_of_registered,turnout,share_of_voters,error,lo,hi,se_sampling,rmse_ident,cite
ge15,GE-15,age,70+,BN,0.2677133624343865,0.5798560433380416,0.4616893546426596,0.05601871026828138,0.4056706443743782,0.517708064910941,0.027510968839126695,0.007747173945587713,False
ge15,GE-15,age,70+,PH,0.2477220845992007,0.5798560433380416,0.427213077185754,0.06790408815087572,0.3593089890348783,0.49511716533662975,0.033039851535618905,0.010423064876163369,False
ge15,GE-15,age,70+,PN,0.0440285797818948,0.5798560433380416,0.07593019041146258,0.026984397267882307,0.048945793143580274,0.10291458767934489,0.011527746627411208,0.007527049914245243,True
jhr_se16,SE-16,ethnicity,Malay,BN,0.6371239467920017,0.7512981922007089,0.8480307199006202,0.034049871299953446,0.8139808486006668,0.8820805912005736,0.012292943172264866,0.012275310596967466,True
jhr_se16,SE-16,ethnicity,Malay,PH,0.0355134901706821,0.7512981922007089,0.04726950036530195,0.025156857140753656,0.02211264322454829,0.07242635750605561,0.00321715365448114,0.012425397987081858,True
jhr_se16,SE-16,ethnicity,Malay,PN,0.0679764182355904,0.7512981922007089,0.0904786128081492,0.032132713864906313,0.05834589894324289,0.12261132667305552,0.012097694198137984,0.011064219729819313,True
jhr_se16,SE-16,ethnicity,Chinese,BN,0.0772560919741506,0.6228527564771064,0.1240358835547519,0.06480556946036355,0.05923031409438835,0.18884145301511546,0.013800240484810157,0.03004639456573638,False
jhr_se16,SE-16,ethnicity,Chinese,PH,0.52533630305786,0.6228527564771064,0.8434357841317017,0.06488819353511102,0.7785475905965907,0.9083239776668127,0.01143453671663663,0.031068846963617388,False
jhr_se16,SE-16,ethnicity,Chinese,PN,2.1169019012376292e-05,0.6228527564771064,3.398719647980619e-05,0.023516338125027323,0.0,0.02355032532150713,0.00012098974280404626,0.011997521647711859,True
jhr_se16,SE-16,ethnicity,Indian,BN,0.2613891407388528,0.5384745091763625,0.48542528250532646,0.1815374620633663,0.30388782044196017,0.6669627445686928,0.05399598707281712,0.07525364821345566,False
jhr_se16,SE-16,ethnicity,Indian,PH,0.1712635851665713,0.5384745091763625,0.318053282463699,0.12147905395313956,0.19657422851055945,0.4395323364168386,0.035441938561252447,0.0508456385863968,False
jhr_se16,SE-16,ethnicity,Indian,PN,1.8244620077372668e-05,0.5384745091763625,3.388204969122716e-05,0.07447320932286634,0.0,0.07450709137255757,2.7180591027680787e-05,0.037996525647072676,False
jhr_se16,SE-16,ethnicity,Other,BN,0.4651299136425771,0.6002151149107129,0.7749386879598478,0.11971205334017038,0.6552266346196773,0.8946507413000182,0.04772964870482029,0.03810972576049606,False
jhr_se16,SE-16,ethnicity,Other,PH,0.0575355919039241,0.6002151149107129,0.0958582855956285,0.08008308316414245,0.015775202431486057,0.17594136875977096,0.02895756747554232,0.028825231150890453,False
jhr_se16,SE-16,ethnicity,Other,PN,0.0001227141129016,0.6002151149107129,0.00020445022101760093,0.060176512832411655,0.0,0.06038096305342926,0.014646861756355182,0.02698334333203095,False
jhr_se16,SE-16,age,18-29,BN,0.427917343181206,0.6599982590690874,0.6483613211113219,0.06363387250498324,0.5847274486063387,0.7119951936163051,0.020045501501067847,0.025538911570327436,False
jhr_se16,SE-16,age,18-29,PH,0.1777538624914117,0.6599982590690874,0.26932474449573474,0.06034716762242607,0.20897757687330867,0.3296719121181608,0.0197743883619994,0.02359997766975298,False
jhr_se16,SE-16,age,18-29,PN,0.0345370189726673,0.6599982590690874,0.05232895465721528,0.021001833764079325,0.031327120893135954,0.0733307884212946,0.008405835218324898,0.006645141229962854,True
jhr_se16,SE-16,age,30-39,BN,0.4193999035890139,0.6561017018540101,0.6392300193763787,0.05299420435294041,0.5862358150234382,0.6922242237293191,0.01664736596219575,0.02130518822949906,False
jhr_se16,SE-16,age,30-39,PH,0.1819801223709499,0.6561017018540101,0.2773657221993344,0.05436805517294697,0.22299766702638746,0.3317337773722814,0.016994710782129503,0.021923070813672903,False
jhr_se16,SE-16,age,30-39,PN,0.0373465111798011,0.6561017018540101,0.05692183250594756,0.02097792643069553,0.03594390607525203,0.07789975893664308,0.00914085496650044,0.0055677182553978185,True
jhr_se16,SE-16,age,40-49,BN,0.4083956363127197,0.6834428597879277,0.5975563728026141,0.03736838537457496,0.5601879874280391,0.6349247581771891,0.01869836068592197,0.0037235335998668365,True
jhr_se16,SE-16,age,40-49,PH,0.2070059370495555,0.6834428597879277,0.3028869701174278,0.03869796175527247,0.26418900836215536,0.3415849318727003,0.019468808093309458,0.003284119618185546,True
jhr_se16,SE-16,age,40-49,PN,0.0463018355642684,0.6834428597879277,0.06774792493791779,0.019266296684027344,0.04848162825389044,0.08701422162194514,0.009664801727102244,0.0017931701186407883,True
jhr_se16,SE-16,age,50-59,BN,0.3854589664192895,0.7457479013599004,0.516875697157699,0.03561880531292128,0.4812568918447777,0.5524945024706203,0.018030099591090212,0.0022733992151527066,True
jhr_se16,SE-16,age,50-59,PH,0.2896070390971092,0.7457479013599004,0.3883444238582495,0.039786072535294974,0.34855835132295454,0.4281304963935445,0.020182034646054413,0.0021761324541331273,True
jhr_se16,SE-16,age,50-59,PN,0.0426604531506617,0.7457479013599004,0.057204925515537755,0.02015852416119988,0.03704640135433787,0.07736344967673764,0.010255233902627081,0.0007814132603409583,True
jhr_se16,SE-16,age,60-69,BN,0.4101966933174402,0.7925962187694512,0.5175355163241794,0.037326497957499316,0.48020901836668006,0.5548620142816787,0.01891018848257702,0.002254710706348267,True
jhr_se16,SE-16,age,60-69,PH,0.3203797316920905,0.7925962187694512,0.4042155691702611,0.04205728626529343,0.36215828290496765,0.4462728554355545,0.021326001735459142,0.0023746142500530665,True
jhr_se16,SE-16,age,60-69,PN,0.0328315104706607,0.7925962187694512,0.04142274425890324,0.014854266718146497,0.026568477540756738,0.056277010977049735,0.007552633098810045,0.0006281248169344218,True
jhr_se16,SE-16,age,70+,BN,0.3038426337267044,0.5971015466997839,0.5088625802529919,0.05050650346473088,0.458356076788261,0.5593690837177228,0.02505464202357442,0.006023861476827547,False
jhr_se16,SE-16,age,70+,PH,0.2481950642689087,0.5971015466997839,0.41566642330889564,0.05317846626087876,0.3624879570480169,0.4688448895697744,0.026565245225085986,0.00551598995638968,False
jhr_se16,SE-16,age,70+,PN,0.0178624937430445,0.5971015466997839,0.029915336581811884,0.011109517713300631,0.01880581886851125,0.04102485429511252,0.005365310352894955,0.0018278522062622534,True
