dim,group,estimand,model,estimate,se,ci_lo,ci_hi,lo,hi,violates,excess
age,60-69,BN,M1_lpm,0.28746604783666024,0.017529767924404378,0.2559339361693616,0.3231770761185438,0.0504649876316421,0.5338712090374251,False,0.0
age,60-69,BN,M2_logit,0.29145457105537015,0.017880581653447313,0.2589527447058095,0.327268102054585,0.0504649876316421,0.5338712090374251,False,0.0
age,60-69,BN,M3_probit,0.29145459698274356,,,,0.0504649876316421,0.5338712090374251,False,0.0
age,60-69,BN,M2ml_logit_noprior,0.2914545443201926,,,,0.0504649876316421,0.5338712090374251,False,0.0
age,60-69,BN,M4_context,0.2993753695171355,,,,0.0504649876316421,0.5338712090374251,False,0.0
age,60-69,BN,M5_within_seat,0.29322207077041945,0.017422901611914933,0.2608376322423715,0.33036076862751534,0.0504649876316421,0.5338712090374251,False,0.0
age,70+,BN,M1_lpm,0.240907376259257,0.01607589548000003,0.21256686063197436,0.2733990457389588,0.0343025470183541,0.4927706719249441,False,0.0
age,70+,BN,M2_logit,0.2383580925751987,0.01689503786399421,0.20812367483363775,0.27242096297219087,0.0343025470183541,0.4927706719249441,False,0.0
age,70+,BN,M3_probit,0.2383570543928199,,,,0.0343025470183541,0.4927706719249441,False,0.0
age,70+,BN,M2ml_logit_noprior,0.23835654627476713,,,,0.0343025470183541,0.4927706719249441,False,0.0
age,70+,BN,M4_context,0.2048310588941512,,,,0.0343025470183541,0.4927706719249441,False,0.0
age,70+,BN,M5_within_seat,0.23395607885117947,0.01506017684198007,0.20715800671664272,0.26211592946216555,0.0343025470183541,0.4927706719249441,False,0.0
age,18-29,PH,M1_lpm,0.11523531272861487,0.012387985438158064,0.08931064962622744,0.13846928181441895,0.0749536840366279,0.1652049112621542,False,0.0
age,18-29,PH,M2_logit,0.11500158455347917,0.012260874812965545,0.08945840948530255,0.1378110424958514,0.0749536840366279,0.1652049112621542,False,0.0
age,18-29,PH,M3_probit,0.11500129510090124,,,,0.0749536840366279,0.1652049112621542,False,0.0
age,18-29,PH,M2ml_logit_noprior,0.11500116744834595,,,,0.0749536840366279,0.1652049112621542,False,0.0
age,18-29,PH,M4_context,0.06203497522332316,,,,0.0749536840366279,0.1652049112621542,True,0.012918708813304744
age,18-29,PH,M5_within_seat,0.11479095087142897,0.011930693163169822,0.09023731040542969,0.13707272904304324,0.0749536840366279,0.1652049112621542,False,0.0
age,30-39,PH,M1_lpm,0.09509035194987818,0.00881708858741742,0.07679348267724687,0.11199917622980693,0.0301025489193335,0.2112130918095443,False,0.0
age,30-39,PH,M2_logit,0.09665962344957943,0.008989286868755027,0.07861461471092464,0.11390660644589448,0.0301025489193335,0.2112130918095443,False,0.0
age,30-39,PH,M3_probit,0.09665907948672853,,,,0.0301025489193335,0.2112130918095443,False,0.0
age,30-39,PH,M2ml_logit_noprior,0.09665884997107838,,,,0.0301025489193335,0.2112130918095443,False,0.0
age,30-39,PH,M4_context,0.12491482136611937,,,,0.0301025489193335,0.2112130918095443,False,0.0
age,30-39,PH,M5_within_seat,0.09725799889208449,0.009250150808104974,0.07850368500186766,0.11457115934888525,0.0301025489193335,0.2112130918095443,False,0.0
age,40-49,PH,M1_lpm,0.1418666440737379,0.013982536416244173,0.11392448839194838,0.1673923800412031,0.0384500919978189,0.2770665838288036,False,0.0
age,40-49,PH,M2_logit,0.14199780520144006,0.014062202188708343,0.11465352556088003,0.1670700624998043,0.0384500919978189,0.2770665838288036,False,0.0
age,40-49,PH,M3_probit,0.1419974295960657,,,,0.0384500919978189,0.2770665838288036,False,0.0
age,40-49,PH,M2ml_logit_noprior,0.14199723741336281,,,,0.0384500919978189,0.2770665838288036,False,0.0
age,40-49,PH,M4_context,0.14325496772622498,,,,0.0384500919978189,0.2770665838288036,False,0.0
age,40-49,PH,M5_within_seat,0.1438754008360697,0.013765482966878914,0.11633299041581979,0.16852615254704792,0.0384500919978189,0.2770665838288036,False,0.0
age,50-59,PH,M1_lpm,0.19196315819743937,0.01798213067600327,0.15342016786851492,0.2248111751049485,0.0519061926874,0.3416500825951795,False,0.0
age,50-59,PH,M2_logit,0.19141900206914678,0.017471829527040843,0.1539825234818357,0.22457199196906313,0.0519061926874,0.3416500825951795,False,0.0
