cluster,dim,group,estimand,registered,lo,hi
N.08 Bukit Pasir,age,70+,PH,2751,0.0,0.3944020356234097
N.08 Bukit Pasir,age,18-29,PN,9028,0.08794860434204696,0.30494018608772705
N.08 Bukit Pasir,age,30-39,PN,6825,0.030915750915750915,0.4712087912087912
N.08 Bukit Pasir,age,40-49,PN,5520,0.011231884057971014,0.4076086956521739
N.08 Bukit Pasir,age,50-59,PN,4710,0.0,0.505307855626327
N.08 Bukit Pasir,age,60-69,PN,3352,0.0,0.4158711217183771
N.08 Bukit Pasir,age,70+,PN,2751,0.0,0.39912758996728465
N.09 Gambir,ethnicity,Malay,turnout,17346,0.49769399285137783,0.8194396402628848
N.09 Gambir,ethnicity,Chinese,turnout,10751,0.24825597618826156,0.7678355501813785
N.09 Gambir,ethnicity,Indian,turnout,1109,0.023444544634806132,1.0
N.09 Gambir,ethnicity,Other,turnout,193,0.010362694300518135,1.0
N.09 Gambir,ethnicity,Malay,BN,17346,0.20915484838002998,0.4422345209270149
N.09 Gambir,ethnicity,Chinese,BN,10751,0.004743744767928565,0.3363408055064645
N.09 Gambir,ethnicity,Indian,BN,1109,0.0,0.9161406672678089
N.09 Gambir,ethnicity,Other,BN,193,0.0,1.0
N.09 Gambir,ethnicity,Malay,PH,17346,0.0011530035743110803,0.18252046581344403
N.09 Gambir,ethnicity,Chinese,PH,10751,0.10045577155613432,0.40470653892661146
N.09 Gambir,ethnicity,Indian,PH,1109,0.0,0.6862037871956718
N.09 Gambir,ethnicity,Other,PH,193,0.0,0.9896373056994818
N.09 Gambir,ethnicity,Malay,PN,17346,0.09835120488873515,0.2717052922864061
N.09 Gambir,ethnicity,Chinese,PN,10751,0.0,0.24862803460143243
N.09 Gambir,ethnicity,Indian,PN,1109,0.0,0.6889089269612263
N.09 Gambir,ethnicity,Other,PN,193,0.0,1.0
N.09 Gambir,age,18-29,turnout,7325,0.4035494880546075,0.7444368600682594
N.09 Gambir,age,30-39,turnout,6147,0.19017406865137465,0.8355295265983407
N.09 Gambir,age,40-49,turnout,5063,0.25182698005135296,0.9196128777404701
N.09 Gambir,age,50-59,turnout,4642,0.3005170185264972,0.993537268418785
N.09 Gambir,age,60-69,turnout,3361,0.20113061588812853,0.9851234751562035
N.09 Gambir,age,70+,turnout,2861,0.2838168472562041,0.8727717581265292
N.09 Gambir,age,18-29,BN,7325,0.12901023890784982,0.4019112627986348
N.09 Gambir,age,30-39,BN,6147,0.028306490971205467,0.5059378558646495
N.09 Gambir,age,40-49,BN,5063,0.017183488050562908,0.4748173019948647
N.09 Gambir,age,50-59,BN,4642,0.06764325721671693,0.6046962516156829
N.09 Gambir,age,60-69,BN,3361,0.0,0.6438559952395121
N.09 Gambir,age,70+,BN,2861,0.022719328905976933,0.600489339391821
